Nama,URL,Alamat,Kode Pos,Telepon,Fax,Email
Komisi Penegakan Norma Akademik dan Kemahasiswaan,https://www.itb.ac.id/directories/view/komisi-penegakan-norma-akademik-dan-kemahasiswaan-sx,"Jalan Tamansari no 64,","Bandung, 40116","+62-22-2504814,","+62-22-2504814,",
Layanan Beasiswa Sarjana,https://www.itb.ac.id/directories/view/layanan-beasiswa-sarjana-rv,",",",","+62-22-2534275,",",",beasiswaitb@kemahasiswaan.itb.ac.id
Lembaga Penelitian dan Pengabdian kepada Masyarakat,https://www.itb.ac.id/directories/view/lembaga-penelitian-dan-pengabdian-kepada-masyarakat-tq,"Jalan Ganesha no. 10,","Bandung, 40132","+62-22-86010050,","+62-22-86010050,",lppm@lppm.itb.ac.id
Lembaga Bimbingan Konseling,https://www.itb.ac.id/directories/view/lembaga-bimbingan-konseling-sw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504814,","+62-22-2504814,",
Lembaga Pengembangan Inovasi dan Kewirausahaan,https://www.itb.ac.id/directories/view/lembaga-pengembangan-inovasi-dan-kewirausahaan-vx,"Jalan Ganesha no. 15,","Bandung, 40132","+62-22-2533639,","+62-22-2534163,",lpik@lpik.itb.ac.id
Lembaga Layanan Hukum,https://www.itb.ac.id/directories/view/lembaga-layanan-hukum-tty,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2500939,","+62-22-2500939,",hukum@itb.ac.id
Lembaga Tahapan Persiapan Bersama,https://www.itb.ac.id/directories/view/lembaga-tahapan-persiapan-bersama-rt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2510444,","+62-22-2510444,",
Majelis Wali Amanat,https://www.itb.ac.id/directories/view/majelis-wali-amanat-r,"Jalan Dipati Ukur no 4,","Bandung, 40132","+62-22-2510500,","+62-22-2512532,",sekremwa@itb.ac.id
Program Studi Doktor Aeronotika dan Astronotika,https://www.itb.ac.id/directories/view/program-studi-doktor-aeronotika-dan-astronotika-rxu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504529,","+62-22-2534146,",info@ftmd.itb.ac.id
Program Studi Sarjana Desain Interior,https://www.itb.ac.id/directories/view/program-studi-sarjana-desain-interior-tqt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2534126, +62-22-2501214","+62-22-2534126,",prasetyo@fsrd.itb.ac.id
Program Studi Doktor Arsitektur,https://www.itb.ac.id/directories/view/program-studi-doktor-arsitektur-sty,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509171,","+62-22-2501263,",s3-arsitektur@sappk.itb.ac.id
Program Studi Sarjana Desain Komunikasi Visual,https://www.itb.ac.id/directories/view/program-studi-sarjana-desain-komunikasi-visual-tqs,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2516567,","+62-22-2516567,",
Program Studi Doktor Astronomi,https://www.itb.ac.id/directories/view/program-studi-doktor-astronomi-rwx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511576,","+62-22-2509170,",administration@as.itb.ac.id
Program Studi Sarjana Desain Produk,https://www.itb.ac.id/directories/view/program-studi-sarjana-desain-produk-tqu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2514832,","+62-22-2516250,",
Program Studi Doktor Biologi,https://www.itb.ac.id/directories/view/program-studi-doktor-biologi-rqw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",sith@itb.ac.id
Program Studi Sarjana Farmasi Klinik dan Komunitas,https://www.itb.ac.id/directories/view/program-studi-sarjana-farmasi-klinik-dan-komunitas-tuu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504258,","+62-22-2504258,",farmasi@fa.itb.ac.id
Program Studi Doktor Farmasi,https://www.itb.ac.id/directories/view/program-studi-doktor-farmasi-szs,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504258,","+62-22-2504258,",farmasi@fa.itb.ac.id
Program Studi Sarjana Fisika,https://www.itb.ac.id/directories/view/program-studi-sarjana-fisika-rww,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500834,","+62-22-2506452,",fisika@fi.itb.ac.id
Program Studi Doktor Fisika,https://www.itb.ac.id/directories/view/program-studi-doktor-fisika-rwz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500834,","+62-22-2506452,",fisika@fi.itb.ac.id
Program Studi Sarjana Informatika,https://www.itb.ac.id/directories/view/program-studi-sarjana-informatika-swr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508135,","+62-22-2500940,",info@stei.itb.ac.id
Program Studi Doktor Ilmu dan Teknik Material,https://www.itb.ac.id/directories/view/program-studi-doktor-ilmu-dan-teknik-material-rxr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508144,","+62-22-2508144,",info@ftmd.itb.ac.id
Program Studi Sarjana Kewirausahaan,https://www.itb.ac.id/directories/view/program-studi-sarjana-kewirausahaan-ruv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-7798600,","+62-22-7798617,",info@sbm-itb.ac.id
Program Studi Doktor Ilmu Seni Rupa dan Desain,https://www.itb.ac.id/directories/view/program-studi-doktor-ilmu-seni-rupa-dan-desain-tqw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2534104,","+62-22-2534242,",
Program Studi Sarjana Kimia,https://www.itb.ac.id/directories/view/program-studi-sarjana-kimia-ryr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502103,","+62-22-2504154,",undergraduate@chem.itb.ac.id
Program Studi Doktor Kimia,https://www.itb.ac.id/directories/view/program-studi-doktor-kimia-ryt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502103,","+62-22-2504154,",postgraduate@chem.itb.ac.id
Program Studi Sarjana Klinik dan Komunitas,https://www.itb.ac.id/directories/view/program-studi-sarjana-klinik-dan-komunitas-szq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504258,","+62-22-2504258,",
Program Studi Doktor Matematika,https://www.itb.ac.id/directories/view/program-studi-doktor-matematika-ryw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502545, +62-22-2534175","+62-22-2506450,",prodi-ma@math.itb.ac.id
Program Studi Sarjana Kriya,https://www.itb.ac.id/directories/view/program-studi-sarjana-kriya-tqr,"Jalan Ganesha 10,","Bandung, 40132",",",",",
Program Studi Doktor Perencanaan Wilayah dan Kota,https://www.itb.ac.id/directories/view/program-studi-doktor-perencanaan-wilayah-dan-kota-stw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509171,","+62-22-2501263,",s3-pwk@sappk.itb.ac.id
Program Studi Sarjana Manajemen,https://www.itb.ac.id/directories/view/program-studi-sarjana-manajemen-rur,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info@sbm-itb.ac.id
Program Studi Doktor Rekayasa Nuklir,https://www.itb.ac.id/directories/view/program-studi-doktor-rekayasa-nuklir-rxv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504529,","+62-22-2534146,",info@ftmd.itb.ac.id
Program Studi Sarjana Manajemen Rekayasa Industri,https://www.itb.ac.id/directories/view/program-studi-sarjana-manajemen-rekayasa-industri-srq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504189,","+62-22-2509164,",ti@ti.itb.ac.id
Program Studi Doktor Rekayasa Pertambangan,https://www.itb.ac.id/directories/view/program-studi-doktor-rekayasa-pertambangan-svs,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502239, +62-22-2508131","+62-22-2504209,",dep-ta@mining.itb.ac.id
Program Studi Sarjana Matematika,https://www.itb.ac.id/directories/view/program-studi-sarjana-matematika-ryv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502545, +62-22-2534175","+62-22-2506450,",prodi-ma@math.itb.ac.id
Program Studi Doktor Sains Kebumian,https://www.itb.ac.id/directories/view/program-studi-doktor-sains-kebumian-rst,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500494,","+62-22-2534139,",prodime@meteo.itb.ac.id
Program Studi Sarjana Meteorologi,https://www.itb.ac.id/directories/view/program-studi-sarjana-meteorologi-rsr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500494,","+62-22-2534139,",prodime@meteo.itb.ac.id
Program Studi Doktor Sains Manajemen,https://www.itb.ac.id/directories/view/program-studi-doktor-sains-manajemen-ruu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info@sbm-itb.ac.id
Program Studi Sarjana Mikrobiologi,https://www.itb.ac.id/directories/view/program-studi-sarjana-mikrobiologi-rqq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",sith@sith.itb.ac.id
Program Studi Doktor Teknik dan Manajemen Industri,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-dan-manajemen-industri-srw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504189,","+62-22-2509164,",tmi@ti.itb.ac.id
Program Studi Sarjana Oseanografi,https://www.itb.ac.id/directories/view/program-studi-sarjana-oseanografi-rsq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500494,","+62-22-2534139,",prodi_oseanografi@yahoo.com
Program Studi Doktor Teknik Elektro & Informatika,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-elektro-informatika-sww,"Jalan Ganesha 10,","Bandung, 40132",",",",",info@stei.itb.ac.id
Program Studi Sarjana Perencanaan Wilayah dan Kota,https://www.itb.ac.id/directories/view/program-studi-sarjana-perencanaan-wilayah-dan-kota-ssw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509171,","+62-22-2501263,",s1pwkitb@pl.itb.ac.id
Program Studi Doktor Teknik Fisika,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-fisika-sru,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504424,","+62-22-2506281,",kaprodis2s3tf@tf.itb.ac.id
Program Studi Sarjana Rekayasa Hayati,https://www.itb.ac.id/directories/view/program-studi-sarjana-rekayasa-hayati-rqr,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1 , Jatinangor","Sumedang, 45363","+62-22-7798600 ,","+62-22-2534107, +62-22-7798617",yusuf@sith.itb.ac.id
Program Studi Doktor Teknik Geodesi dan Geomatika,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-geodesi-dan-geomatika-rsx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2530701,","+62-22-2530702,",graduate@gd.itb.ac.id
Program Studi Sarjana Rekayasa Infrastruktur Lingkungan,https://www.itb.ac.id/directories/view/program-studi-sarjana-rekayasa-infrastruktur-lingkungan-wz,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1, Jatinangor","Sumedang, 45363","+62-22-87836716, +62-22-87837313",",",ril@ftsl.itb.ac.id
Program Studi Doktor Teknik Geofisika,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-geofisika-svz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509168, +62-22-2534137","+62-22-2509168,",tutg@gf.itb.ac.id
Program Studi Sarjana Rekayasa Kehutanan,https://www.itb.ac.id/directories/view/program-studi-sarjana-rekayasa-kehutanan-rqt,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1 , Jatinangor","Sumedang, 45363","+62-22-7798600 , +62-22-2500258","+62-22-2534107, +62-22-7798617",elham@sith.itb.ac.id
Program Studi Doktor Teknik Geologi,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-geologi-rrz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502197,","+62-22-2534139,",prodis2@gc.itb.ac.id
Program Studi Sarjana Rekayasa Pertanian,https://www.itb.ac.id/directories/view/program-studi-sarjana-rekayasa-pertanian-rqs,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1 , Jatinangor","Sumedang, 45363","+62-22-7798600 , +62-22-2500258","+62-22-2534107, +62-22-7798617",mia@sith.itb.ac.id
Program Studi Doktor Teknik Kimia,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-kimia-srs,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500989,","+62-22-2501438,",cheitb@che.itb.ac.id
Program Studi Sarjana Sains dan Teknologi Farmasi,https://www.itb.ac.id/directories/view/program-studi-sarjana-sains-dan-teknologi-farmasi-syz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504258,","+62-22-2504258,",farmasi@fa.itb.ac.id
Program Studi Doktor Teknik Lingkungan,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-lingkungan-yt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502647,","+62-22-2530704,",tu@tl.itb.ac.id
Program Studi Sarjana Seni Rupa,https://www.itb.ac.id/directories/view/program-studi-sarjana-seni-rupa-tqq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2534104,","+62-22-2534242,",
Program Studi Doktor Teknik Mesin,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-mesin-rvy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
Program Studi Sarjana Sistem dan Teknologi Informasi,https://www.itb.ac.id/directories/view/program-studi-sarjana-sistem-dan-teknologi-informasi-swu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508135,","+62-22-2500940,",info@stei.itb.ac.id
Program Studi Doktor Teknik Perminyakan,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-perminyakan-svx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511155,","+62-22-2504955,",info@tm.itb.ac.id
Program Studi Sarjana Teknik Bioenergi dan Kemurgi,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-bioenergi-dan-kemurgi-try,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1, Jatinangor","Sumedang, 45363","+62-22-7798600 ,","+62-22-86010043,",tbk@che.itb.ac.id
Program Studi Doktor Teknik Sipil,https://www.itb.ac.id/directories/view/program-studi-doktor-teknik-sipil-yr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506445,","+62-22-2506445,",tu@si.itb.ac.id
Program Studi Sarjana Teknik Biomedis,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-biomedis-tut,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508135,","+62-22-2500940,",info@stei.itb.ac.id
Program Studi Doktor Transportasi,https://www.itb.ac.id/directories/view/program-studi-doktor-transportasi-stz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502347,","+62-22-2500996,",kaproditr@sappk.itb.ac.id
Program Studi Sarjana Teknik Elektro,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-elektro-swq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508135,","+62-22-2500940,",info@stei.itb.ac.id
Program Studi Magister Administrasi Bisnis Bandung,https://www.itb.ac.id/directories/view/program-studi-magister-administrasi-bisnis-bandung-rus,"Jl. Gelap Nyawang No. 1,","Bandung, 40132","+62-22-2504308,","+62-22-2504249,",info@sbm-itb.ac.id
Program Studi Sarjana Teknik Fisika,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-fisika-sqy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504424,","+62-22-2506281,",kaprodis1@tf.itb.ac.id
Program Studi Magister Administrasi Bisnis Jakarta,https://www.itb.ac.id/directories/view/program-studi-magister-administrasi-bisnis-jakarta-ttz,"Jl. HR Rasuna Said Kav. 1-2,","Jakarta,","+62-21-5296868,","+62-21-5290095,",mba-jkt@sbm-itb.ac.id
Program Studi Sarjana Teknik Geodesi dan Geomatika,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-geodesi-dan-geomatika-rsu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2530701,","+62-22-2530702,",info@gd.itb.ac.id
Program Studi Magister Aeronotika dan Astronotika,https://www.itb.ac.id/directories/view/program-studi-magister-aeronotika-dan-astronotika-rxt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504529,","+62-22-2534146,",info@ftmd.itb.ac.id
Program Studi Sarjana Teknik Geofisika,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-geofisika-svy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509168, +62-22-2534137","+62-22-2509168,",tutg@gf.itb.ac.id
Program Studi Magister Aktuaria,https://www.itb.ac.id/directories/view/program-studi-magister-aktuaria-ryz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502545, +62-22-2534175","+62-22-2506450,",prodi-ma@math.itb.ac.id
Program Studi Sarjana Teknik Geologi,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-geologi-rrw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502197,","+62-22-2511440,",geologi@gc.itb.ac.id
Program Studi Magister Arsitektur,https://www.itb.ac.id/directories/view/program-studi-magister-arsitektur-stq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509171,","+62-22-2501263,",s2-arsitektur@sappk.itb.ac.id
Program Studi Sarjana Teknik Industri,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-industri-sqz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504189,","+62-22-2509164,",ti@ti.itb.ac.id
Program Studi Magister Arsitektur Lanskap,https://www.itb.ac.id/directories/view/program-studi-magister-arsitektur-lanskap-stx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504962,","+62-22-2530705,",arsitekturlanskap@sappk.itb.ac.id
Program Studi Sarjana Teknik Kelautan,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-kelautan-ww,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509117, +62-22-2511925","+62-22-2509117, +62-22-2511925",oeitb@ocean.itb.ac.id
Program Studi Magister Astronomi,https://www.itb.ac.id/directories/view/program-studi-magister-astronomi-rwv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511576,","+62-22-2509170,",administration@as.itb.ac.id
Program Studi Sarjana Teknik Kimia,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-kimia-sqw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500989,","+62-22-2501438,",cheitb@che.itb.ac.id
Program Studi Magister Biologi,https://www.itb.ac.id/directories/view/program-studi-magister-biologi-rqu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",afaizal@sith.itb.ac.id
Program Studi Sarjana Teknik Lingkungan,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-lingkungan-wx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509117, +62-22-2511925","+62-22-2509117, +62-22-2511925",tu@tl.itb.ac.id
Program Studi Magister Biomanajemen,https://www.itb.ac.id/directories/view/program-studi-magister-biomanajemen-rqx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",endang@sith.itb.ac.id
Program Studi Sarjana Teknik Material,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-material-rvz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508144,","+62-22-2508144,",info@ftmd.itb.ac.id
Program Studi Magister Bioteknologi,https://www.itb.ac.id/directories/view/program-studi-magister-bioteknologi-rqv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",marsel@sith.itb.ac.id
Program Studi Sarjana Teknik Mesin,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-mesin-rvx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
Program Studi Magister Desain,https://www.itb.ac.id/directories/view/program-studi-magister-desain-tqx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2516567,","+62-22-2516567,",
Program Studi Sarjana Teknik Metalurgi,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-metalurgi-svr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2532239, +62-22-2508131","+62-22-2504209,",contact@metallurgy.itb.ac.id
Program Studi Magister Farmasi,https://www.itb.ac.id/directories/view/program-studi-magister-farmasi-szr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504258,","+62-22-2504258,",farmasi@fa.itb.ac.id
Program Studi Sarjana Teknik Pangan,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-pangan-trz,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1, Jatinangor","Sumedang, 45363","+62-22-7798600 ,","+62-22-86010043,",tpg@che.itb.ac.id
Program Studi Magister Farmasi Industri,https://www.itb.ac.id/directories/view/program-studi-magister-farmasi-industri-tss,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504258,","+62-22-2504258,",farmasi@fa.itb.ac.id
Program Studi Sarjana Teknik Pengelolaan Sumberdaya Air,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-pengelolaan-sumberdaya-air-wy,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1, Jatinangor","Sumedang, 45363","+62--22-8783670, +62-22-87836712",",",tpsda@ftsl.itb.ac.id
Program Studi Magister Fisika,https://www.itb.ac.id/directories/view/program-studi-magister-fisika-rwy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500834,","+62-22-2506452,",fisika@fi.itb.ac.id
Program Studi Sarjana Teknik Perminyakan,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-perminyakan-svu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511155,","+62-22-2504955,",info@tm.itb.ac.id
Program Studi Magister Ilmu dan Rekayasa Nuklir,https://www.itb.ac.id/directories/view/program-studi-magister-ilmu-dan-rekayasa-nuklir-tsw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504529,","+62-22-2534146,",info@ftmd.itb.ac.id
Program Studi Sarjana Teknik Pertambangan,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-pertambangan-svq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502239, +62-22-2508131","+62-22-2504209,",dep-ta@mining.itb.ac.id
Program Studi Magister Ilmu Keolahragaan,https://www.itb.ac.id/directories/view/program-studi-magister-ilmu-keolahragaan-tsr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504258,","+62-22-2504258,",farmasi@fa.itb.ac.id
Program Studi Sarjana Teknik Sipil,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-sipil-wv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504556,","+62-22-2510713,",tu@si.itb.ac.id
Program Studi Magister Informatika,https://www.itb.ac.id/directories/view/program-studi-magister-informatika-swx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502260, +62-22-4254028","+62-22-2534222,",info@stei.itb.ac.id
Program Studi Sarjana Teknik Telekomunikasi,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-telekomunikasi-swt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508135,","+62-22-2500940,",info@stei.itb.ac.id
Program Studi Magister Instrumentasi dan Kontrol,https://www.itb.ac.id/directories/view/program-studi-magister-instrumentasi-dan-kontrol-srv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504424,  +62-22-2504424","+62-22-2506281,",kaprodis2ik@tf.itb.ac.id
Program Studi Sarjana Teknik Tenaga Listrik,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknik-tenaga-listrik-sws,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508135,","+62-22-2500940,",info@stei.itb.ac.id
Program Studi Magister Kimia,https://www.itb.ac.id/directories/view/program-studi-magister-kimia-rys,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502103,","+62-22-2504154,",postgraduate@chem.itb.ac.id
Program Studi Sarjana Teknologi Pasca Panen,https://www.itb.ac.id/directories/view/program-studi-sarjana-teknologi-pasca-panen-trx,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1 , Jatinangor","Sumedang, 45363","+62-22-7798600 ,","+62-22-2534107, +62-22-7798617",ihak@sith.itb.ac.id
Program Studi Magister Logistik,https://www.itb.ac.id/directories/view/program-studi-magister-logistik-tsx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504189,","+62-22-2509164,",ti@ti.itb.ac.id
Pusat Artificial Intelligence,https://www.itb.ac.id/directories/view/pusat-artificial-intelligence-tvr,"Jl. Ganesha No. 10,","Bandung, 40132",",",",",ayu@informatika.org
Program Studi Magister Matematika,https://www.itb.ac.id/directories/view/program-studi-magister-matematika-ryx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502545, +62-22-2534175","+62-22-2506450,",prodi-ma@math.itb.ac.id
Pusat Infrastruktur Data Spasial,https://www.itb.ac.id/directories/view/pusat-infrastruktur-data-spasial-uw,"Jalan Ganesha 10,","Bandung, 40132",",",",",riqqi@gd.itb.ac.id
Program Studi Magister Pengajaran Fisika,https://www.itb.ac.id/directories/view/program-studi-magister-pengajaran-fisika-ryq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500834,","+62-22-2506452,",fisika@fi.itb.ac.id
Pusat Inovasi Kota dan Komunitas Cerdas,https://www.itb.ac.id/directories/view/pusat-inovasi-kota-dan-komunitas-cerdas-tvq,",",",",",",",",
Program Studi Magister Pengajaran Kimia,https://www.itb.ac.id/directories/view/program-studi-magister-pengajaran-kimia-ryu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502103,","+62-22-2504154,",postgraduate@chem.itb.ac.id
Pusat Kajian Halal,https://www.itb.ac.id/directories/view/pusat-kajian-halal-ttw,"Jalan Ganesha 10,","Bandung, 40132",",",",",tati@sith.itb.ac.id
Program Studi Magister Pengajaran Matematika,https://www.itb.ac.id/directories/view/program-studi-magister-pengajaran-matematika-ryy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502545, +62-22-2534175","+62-22-2506450,",prodi-ma@math.itb.ac.id
Pusat Kebijakan Keenergian,https://www.itb.ac.id/directories/view/pusat-kebijakan-keenergian-ut,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511238, +62-22-2504558","+62-22-2504558 ,",ppeitb@bdg.centrin.net.id
Program Studi Magister Pengelolaan Infrastruktur Air dan Sanitasi,https://www.itb.ac.id/directories/view/program-studi-magister-pengelolaan-infrastruktur-air-dan-sanitasi-yw,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No 1, Jatinangor","Sumedang, 45363","+62-22-87836723, +62-22-87836723",",",pasca-tl@ftsl.itb.ac.id
Pusat Kebijakan Publik dan Kepemerintahan,https://www.itb.ac.id/directories/view/pusat-kebijakan-publik-dan-kepemerintahan-ux,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504735,","+62-22-2501263,",p2g@pl.itb.ac.id
Program Studi Magister Pengelolaan Sumber Daya Air,https://www.itb.ac.id/directories/view/program-studi-magister-pengelolaan-sumber-daya-air-yx,"Jalan Ganesha 10,","Bandung, 40132","+62 22 2509166, +62-22-2510713","+62 22 2510713,",mpsda@ftsl.itb.ac.id
Pusat Mikroelektronika,https://www.itb.ac.id/directories/view/pusat-mikroelektronika-tz,"Jalan Tamansari 126,","Bandung, 40132","+62-22-2506280,","+62-22-2508763,",adi@sysapp.itb.ac.id; info@pme.itb.ac.id
Program Studi Magister Perencanaan Kepariwisataan,https://www.itb.ac.id/directories/view/program-studi-magister-perencanaan-kepariwisataan-stv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502347,","+62-22-2500996,",yantis@sappk.itb.ac.id
Pusat Pemanfaatan Karbon Dioksida dan Gas Suar,https://www.itb.ac.id/directories/view/pusat-pemanfaatan-karbon-dioksida-dan-gas-suar-tvy,",",",",",",",",dsantoso78@yahoo.com
